nome,tot,male,female,is_male,is_female
FULVIO,6474,6474,0,True,False
MARIANO,6351,6351,0,True,False
ROBERTA,6296,0,6296,False,True
ALESSANDRA,6232,0,6232,False,True
EGIDIO,6207,6202,5,True,False
GENNARO,6206,6206,0,True,False
ROSA,6079,0,6079,False,True
PIERGIORGIO,6023,6023,0,True,False
GIANPAOLO,6017,6016,1,True,False
MARIAGRAZIA,6010,5,6005,False,True
FRANCA,5906,1,5905,False,True
VALENTINO,5905,5905,0,True,False
BIAGIO,5895,5895,0,True,False
DANTE,5875,5875,0,True,False
RITA,5778,11,5767,False,True
IVO,5684,5679,5,True,False
PIERANGELO,5579,5578,1,True,False
SAVERIO,5532,5528,4,True,False
GIAMPIERO,5505,5505,0,True,False
CLAUDIA,5501,1,5500,False,True
MARIATERESA,5478,0,5478,False,True
ERMANNO,5286,5286,0,True,False
EDOARDO,5282,5282,0,True,False
MARINA,5194,0,5194,False,True
LUIGINO,5189,5189,0,True,False
FERRUCCIO,5184,5179,5,True,False
IGNAZIO,5165,5165,0,True,False
GABRIELLA,5148,0,5148,False,True
OSVALDO,5136,5136,0,True,False
PIERINO,5130,5130,0,True,False
JOSEF,5109,5109,0,True,False
IVAN,5050,5050,0,True,False
RINO,5044,5044,0,True,False
TIZIANA,4990,1,4989,False,True
AURELIO,4990,4990,0,True,False
ALESSIO,4950,4950,0,True,False
CATERINA,4919,0,4919,False,True
FIORENZO,4866,4866,0,True,False
NATALE,4858,4858,0,True,False
ENNIO,4855,4855,0,True,False
SANTO,4831,4831,0,True,False
GIAMPAOLO,4669,4669,0,True,False
ARTURO,4608,4608,0,True,False
CALOGERO,4597,4592,5,True,False
RODOLFO,4578,4578,0,True,False
GIANPIERO,4571,4567,4,True,False
SILVANA,4541,0,4541,False,True
CHIARA,4532,0,4532,False,True
LORIS,4427,4376,51,True,False
ANTONELLO,4408,4408,0,True,False
SIMONA,4403,0,4403,False,True
NADIA,4401,0,4401,False,True
COSTANTINO,4319,4314,5,True,False
ELISABETTA,4316,0,4316,False,True
ROSANNA,4312,0,4312,False,True
CINZIA,4312,0,4312,False,True
ALFIO,4281,4281,0,True,False
MARIALUISA,4272,1,4271,False,True
RINALDO,4263,4263,0,True,False
MORENO,4239,4239,0,True,False
AMEDEO,4179,4179,0,True,False
ELISA,4158,0,4158,False,True
ACHILLE,4083,4083,0,True,False
GIANPIETRO,4081,4081,0,True,False
GILBERTO,4070,4070,0,True,False
LUCIANA,3950,0,3950,False,True
TERESA,3949,0,3949,False,True
CAMILLO,3898,3895,3,True,False
MICHELA,3876,1,3875,False,True
GIULIANA,3865,0,3865,False,True
GERMANO,3853,3853,0,True,False
LUISA,3838,10,3828,False,True
SARA,3833,0,3833,False,True
GUGLIELMO,3776,3776,0,True,False
MARTINO,3722,3722,0,True,False
EMANUELA,3669,0,3669,False,True
DAMIANO,3655,3655,0,True,False
MARISA,3647,0,3647,False,True
CIRO,3644,3644,0,True,False
RUGGERO,3592,3592,0,True,False
ORAZIO,3574,3574,0,True,False
SEVERINO,3559,3555,4,True,False
MANUELA,3558,16,3542,False,True
TULLIO,3540,3540,0,True,False
OSCAR,3525,3525,0,True,False
MARGHERITA,3496,0,3496,False,True
BENEDETTO,3464,3464,0,True,False
ORESTE,3448,3443,5,True,False
MIRCO,3370,3370,0,True,False
BARTOLOMEO,3368,3363,5,True,False
DONATELLA,3365,0,3365,False,True
ALBINO,3308,3308,0,True,False
PIERPAOLO,3297,3297,0,True,False
GIORDANO,3279,3279,0,True,False
GRAZIELLA,3273,17,3256,False,True
ARNALDO,3260,3255,5,True,False
ANTONIETTA,3246,0,3246,False,True
BENITO,3180,3176,4,True,False
SABRINA,3170,0,3170,False,True
LOREDANA,3169,0,3169,False,True
BATTISTA,3169,3169,0,True,False
NUNZIO,3139,3139,0,True,False
PATRIZIO,3125,3125,0,True,False
ROMEO,3098,3098,0,True,False
ADOLFO,3083,3083,0,True,False
JOHANN,3079,3079,0,True,False
SANDRA,3034,0,3034,False,True
CRISTIAN,3030,3030,0,True,False
CARMELA,3029,0,3029,False,True
GIANMARIO,2996,2991,5,True,False
SONIA,2993,0,2993,False,True
CRISTIANO,2966,2966,0,True,False
FEDERICA,2952,0,2952,False,True
MICHELANGELO,2949,2944,5,True,False
PASQUALINO,2930,2930,0,True,False
MARIACRISTINA,2926,0,2926,False,True
TONINO,2911,2911,0,True,False
VALENTINA,2909,0,2909,False,True
VALERIA,2908,0,2908,False,True
ILARIO,2907,2907,0,True,False
OTTAVIO,2874,2874,0,True,False
RAFFAELLA,2854,1,2853,False,True
MIRKO,2837,2837,0,True,False
PRIMO,2819,2819,0,True,False
ADRIANA,2801,0,2801,False,True
MARIAROSA,2797,10,2787,False,True
ERMINIO,2789,2789,0,True,False
SERAFINO,2782,2782,0,True,False
ORNELLA,2770,0,2770,False,True
ORLANDO,2768,2768,0,True,False
SANTE,2763,2763,0,True,False
EMILIANO,2718,2718,0,True,False
VIRGILIO,2699,2699,0,True,False
ANIELLO,2695,2695,0,True,False
NAZZARENO,2666,2660,6,True,False
CELESTINO,2664,2664,0,True,False
FRANZ,2644,2644,0,True,False
TARCISIO,2581,2580,1,True,False
NELLO,2551,2551,0,True,False
MARA,2549,8,2541,False,True
GIAMPIETRO,2547,2547,0,True,False
ANNALISA,2541,0,2541,False,True
BRUNA,2538,0,2538,False,True
NICOLINO,2533,2533,0,True,False
BERNARDO,2522,2520,2,True,False
GREGORIO,2487,2487,0,True,False
BENIAMINO,2482,2482,0,True,False
NICOLETTA,2481,15,2466,False,True
PIERA,2477,10,2467,False,True
FORTUNATO,2469,2468,1,True,False
ROLANDO,2465,2465,0,True,False
CHRISTIAN,2439,2424,15,True,False
SAURO,2404,2404,0,True,False
GIOACCHINO,2397,2397,0,True,False
RAIMONDO,2388,2388,0,True,False
GIULIA,2379,19,2360,False,True
RENATA,2377,3,2374,False,True
NICOLO',2365,2359,6,True,False
AMBROGIO,2343,2343,0,True,False
MARTA,2323,9,2314,False,True
ENRICA,2313,1,2312,False,True
IVANA,2311,8,2303,False,True
GIACINTO,2255,2250,5,True,False
MARIAANTONIETTA,2247,10,2237,False,True
GIOVANNIANTONIO,2245,2245,0,True,False
VIRGINIO,2227,2227,0,True,False
ERCOLE,2201,2201,0,True,False
BERNARDINO,2197,2197,0,True,False
PIO,2185,2185,0,True,False
GIROLAMO,2167,2167,0,True,False
GIAMBATTISTA,2157,2153,4,True,False
ARCANGELO,2117,2117,0,True,False
MIRELLA,2097,0,2097,False,True
NINO,2094,2089,5,True,False
UBALDO,2094,2094,0,True,False
ALOIS,2084,2084,0,True,False
SANTINO,2083,2083,0,True,False
ELEONORA,2059,0,2059,False,True
CLEMENTE,2040,2030,10,True,False
GIUSEPPEANTONIO,2008,2008,0,True,False
GRAZIA,2002,19,1983,False,True
SIMONETTA,1991,8,1983,False,True
NATALINO,1986,1986,0,True,False
ANTONIA,1960,5,1955,False,True
FILOMENA,1955,0,1955,False,True
GIANBATTISTA,1934,1932,2,True,False
ALVARO,1911,1911,0,True,False
KARL,1903,1903,0,True,False
ROSSANO,1893,1892,1,True,False
ROSARIA,1868,0,1868,False,True
ANSELMO,1866,1866,0,True,False
ILARIA,1853,8,1845,False,True
LILIANA,1849,13,1836,False,True
PIERGIUSEPPE,1842,1842,0,True,False
ELVIO,1834,1834,0,True,False
MARIAPIA,1832,0,1832,False,True
MATTIA,1829,1808,21,True,False
LORENA,1815,6,1809,False,True
PAOLINO,1813,1813,0,True,False
LEO,1811,1811,0,True,False
MARILENA,1784,0,1784,False,True
CONCETTA,1782,0,1782,False,True
GASPARE,1779,1779,0,True,False
VITTORINO,1753,1753,0,True,False
ISABELLA,1746,4,1742,False,True
DOMENICA,1738,0,1738,False,True
MILENA,1731,0,1731,False,True
ROMOLO,1714,1714,0,True,False
LIDIA,1710,5,1705,False,True
MARIANGELA,1693,13,1680,False,True
PIERCARLO,1693,1693,0,True,False
ANNIBALE,1681,1676,5,True,False
MAURA,1677,0,1677,False,True
SECONDO,1645,1645,0,True,False
ALESSIA,1638,0,1638,False,True
PETER,1638,1638,0,True,False
DAVID,1634,1634,0,True,False
MADDALENA,1617,11,1606,False,True
EMIDIO,1616,1616,0,True,False
LEOPOLDO,1616,1616,0,True,False
PIERANTONIO,1578,1578,0,True,False
DENIS,1568,1525,43,True,False
SUSANNA,1558,0,1558,False,True
CLARA,1548,1,1547,False,True
TERESIO,1547,1547,0,True,False
MANUEL,1537,1537,0,True,False
LODOVICO,1533,1533,0,True,False
LORETTA,1526,10,1516,False,True
MARIAROSARIA,1515,0,1515,False,True
GIOVANNIMARIA,1506,1500,6,True,False
CARMEN,1499,46,1453,False,True
SILVESTRO,1493,1493,0,True,False
LAMBERTO,1485,1485,0,True,False
TEODORO,1485,1485,0,True,False
IRENE,1484,11,1473,False,True
GUERRINO,1480,1480,0,True,False
SERENA,1472,0,1472,False,True
GIUSEPPA,1444,0,1444,False,True
ROSSELLA,1443,0,1443,False,True
EMILIA,1425,0,1425,False,True
SAMUELE,1422,1422,0,True,False
MARIAANGELA,1418,4,1414,False,True
FRANCESCOPAOLO,1418,1418,0,True,False
GAVINO,1416,1416,0,True,False
ISIDORO,1403,1403,0,True,False
KATIA,1399,8,1391,False,True
ANTON,1391,1391,0,True,False
FIORELLA,1384,5,1379,False,True
MARINELLA,1382,5,1377,False,True
MARIARITA,1380,0,1380,False,True
DORIANO,1379,1379,0,True,False
FRANCESCOANTONIO,1376,1376,0,True,False
BASILIO,1370,1370,0,True,False
OTTORINO,1368,1368,0,True,False
LEANDRO,1364,1364,0,True,False
ADELIO,1356,1356,0,True,False
DUILIO,1356,1356,0,True,False
ANNARITA,1354,0,1354,False,True
GIANMARCO,1352,1352,0,True,False
ELIGIO,1342,1342,0,True,False
THOMAS,1342,1342,0,True,False
MARZIA,1341,0,1341,False,True
CATALDO,1340,1340,0,True,False
MARCELLA,1339,12,1327,False,True
ONOFRIO,1337,1337,0,True,False
GIACOMINO,1333,1333,0,True,False
REMIGIO,1332,1332,0,True,False
MICHELINO,1330,1330,0,True,False
GIANANTONIO,1328,1328,0,True,False
MARIELLA,1323,0,1323,False,True
VINCENZA,1310,0,1310,False,True
MARIAGIOVANNA,1308,5,1303,False,True
PIERFRANCO,1303,1303,0,True,False
ANGIOLINO,1302,1302,0,True,False
RAFFAELLO,1301,1301,0,True,False
VINICIO,1299,1299,0,True,False
ROSSANA,1296,0,1296,False,True
MARTINA,1294,0,1294,False,True
ROSALBA,1293,0,1293,False,True
PIETROPAOLO,1291,1291,0,True,False
ARRIGO,1287,1287,0,True,False
OLIVIERO,1284,1284,0,True,False
GUALTIERO,1283,1283,0,True,False
VANNI,1282,1278,4,True,False
MARZIO,1282,1282,0,True,False
GIUSEPPINO,1261,1261,0,True,False
ROSELLA,1261,5,1256,False,True
MARIANNA,1247,5,1242,False,True
LORELLA,1242,4,1238,False,True
LUIGIA,1241,10,1231,False,True
EFISIO,1239,1239,0,True,False
GIANDOMENICO,1236,1231,5,True,False
LORENZA,1235,21,1214,False,True
ERALDO,1227,1227,0,True,False
GIANNA,1227,9,1218,False,True
LARA,1220,7,1213,False,True
AGNESE,1214,15,1199,False,True
FABIANO,1210,1209,1,True,False
IGINO,1203,1203,0,True,False
IDA,1201,9,1192,False,True
ERMES,1200,1200,0,True,False
BEATRICE,1199,9,1190,False,True
OMAR,1187,1187,0,True,False
MANLIO,1178,1178,0,True,False
TITO,1172,1172,0,True,False
ANDREAS,1167,1167,0,True,False
LAURO,1161,1161,0,True,False
GIOVANNINO,1156,1156,0,True,False
MARTIN,1148,1148,0,True,False
ERMENEGILDO,1143,1143,0,True,False
GIANNINO,1141,1141,0,True,False
FEDELE,1135,1135,0,True,False
LIBERO,1133,1133,0,True,False
PAUL,1130,1130,0,True,False
FLAVIA,1127,9,1118,False,True
ROMINA,1120,0,1120,False,True
EROS,1119,1119,0,True,False
FLORIANO,1109,1109,0,True,False
ADAMO,1103,1103,0,True,False
SABATINO,1102,1102,0,True,False
FAUSTINO,1097,1097,0,True,False
LUIGINA,1093,4,1089,False,True
CATIA,1091,0,1091,False,True
LANFRANCO,1090,1090,0,True,False
TOMASO,1081,1081,0,True,False
LINA,1077,5,1072,False,True
ADELE,1073,0,1073,False,True
PEPPINO,1071,1071,0,True,False
BIANCA,1065,0,1065,False,True
BORTOLO,1063,1063,0,True,False
VITTORIA,1062,5,1057,False,True
PINO,1044,1044,0,True,False
VALERIANO,1043,1043,0,True,False
COSTANZO,1042,1042,0,True,False
GASTONE,1030,1030,0,True,False
MIRIAM,1016,31,985,False,True
SABINO,1014,1014,0,True,False
GIOVAN,1011,1011,0,True,False
GIOVANBATTISTA,1011,1011,0,True,False
LORETO,1006,1006,0,True,False
GUSTAVO,1004,1004,0,True,False
ERIKA,1004,4,1000,False,True
GEROLAMO,997,997,0,True,False
LEONE,994,994,0,True,False
SAVINO,994,994,0,True,False
DEBORA,993,0,993,False,True
ASSUNTA,988,0,988,False,True
LUISELLA,985,8,977,False,True
WILLIAM,984,984,0,True,False
CANDIDO,983,983,0,True,False
PELLEGRINO,983,983,0,True,False
ELISEO,982,977,5,True,False
ADA,981,3,978,False,True
HEINRICH,980,980,0,True,False
NEVIO,979,979,0,True,False
IGOR,973,973,0,True,False
VERONICA,968,0,968,False,True
CARLOALBERTO,961,961,0,True,False
ALICE,958,20,938,False,True
EMMA,949,0,949,False,True
INNOCENZO,944,938,6,True,False
LETIZIA,944,0,944,False,True
QUINTO,943,943,0,True,False
GIUSTINO,936,936,0,True,False
DEMETRIO,933,933,0,True,False
GIANMARIA,929,909,20,True,False
ARISTIDE,928,923,5,True,False
VILMA,924,9,915,False,True
HERMANN,923,923,0,True,False
MORENA,923,0,923,False,True
EDMONDO,921,921,0,True,False
ARIANNA,920,9,911,False,True
GLORIA,919,0,919,False,True
SABINA,908,0,908,False,True
EDUARDO,906,906,0,True,False
MARIAPAOLA,904,5,899,False,True
ADELMO,898,898,0,True,False
ELVIRA,897,7,890,False,True
ROSALIA,895,0,895,False,True
ENIO,888,883,5,True,False
ROSAMARIA,885,0,885,False,True
CRISTOFORO,884,884,0,True,False
ANTONIOGIUSEPPE,883,883,0,True,False
CESARINO,880,880,0,True,False
GUERINO,874,874,0,True,False
SABATO,874,874,0,True,False
ROBERT,864,864,0,True,False
AMERIGO,864,864,0,True,False
PIERINA,859,0,859,False,True
PIERMARIO,859,859,0,True,False
CAROLINA,857,0,857,False,True
HUBERT,847,847,0,True,False
VANDA,838,0,838,False,True
GEORG,836,836,0,True,False
ERICA,834,0,834,False,True
NARCISO,833,833,0,True,False
PASQUALINA,831,0,831,False,True
SETTIMIO,831,831,0,True,False
GIOVANNIPAOLO,830,830,0,True,False
CECILIA,829,0,829,False,True
ORONZO,822,822,0,True,False
LUDOVICO,821,817,4,True,False
PALMIRO,812,812,0,True,False
ANTONINA,809,0,809,False,True
ANTIMO,808,803,5,True,False
MODESTO,808,808,0,True,False
DOMENICOANTONIO,807,807,0,True,False
ANGELINO,799,799,0,True,False
HERBERT,793,793,0,True,False
ANGELINA,793,0,793,False,True
LIONELLO,787,787,0,True,False
GIOVANNICARLO,782,777,5,True,False
ALEX,776,776,0,True,False
VIRGINIA,776,8,768,False,True
MARCELLINO,773,773,0,True,False
OTELLO,773,773,0,True,False
PARIDE,771,771,0,True,False
ARDUINO,771,771,0,True,False
ORIETTA,770,4,766,False,True
BERARDINO,768,768,0,True,False
MARIAGABRIELLA,768,0,768,False,True
FABIOLA,760,5,755,False,True
MAURILIO,757,757,0,True,False
MARKUS,757,757,0,True,False
ADALBERTO,757,757,0,True,False
GIOVANNILUIGI,756,756,0,True,False
VIVIANA,752,0,752,False,True
GIOVANNIMARIO,749,749,0,True,False
FILIBERTO,749,749,0,True,False
GOFFREDO,748,748,0,True,False
VASCO,747,747,0,True,False
NANDO,746,746,0,True,False
PIETROANTONIO,744,744,0,True,False
ANTONIOMARIA,742,737,5,True,False
LEONELLO,742,742,0,True,False
DONATA,740,17,723,False,True
COSMO,738,738,0,True,False
VITOANTONIO,733,733,0,True,False
ALBA,731,5,726,False,True
SIRO,730,730,0,True,False
GIORGIA,729,5,724,False,True
MONIA,725,0,725,False,True
POMPEO,724,724,0,True,False
MARIAMADDALENA,724,3,721,False,True
ERASMO,722,722,0,True,False
GAUDENZIO,718,718,0,True,False
AMERICO,717,717,0,True,False
GIOSUE',715,715,0,True,False
GERMANA,709,2,707,False,True
ROMUALDO,706,706,0,True,False
SANTI,701,701,0,True,False
ALBERT,700,700,0,True,False
GENEROSO,699,699,0,True,False
FERNANDA,695,0,695,False,True
CORNELIO,695,695,0,True,False
ROSETTA,694,0,694,False,True
CARLETTO,691,691,0,True,False
COSTANTE,690,690,0,True,False
RUDI,690,690,0,True,False
ELSA,689,0,689,False,True
CIRIACO,688,688,0,True,False
ANGELOMARIA,688,677,11,True,False
MARIACONCETTA,685,5,680,False,True
TERENZIO,684,684,0,True,False
ANITA,682,0,682,False,True
GIOVANNIPIETRO,678,678,0,True,False
ESTER,676,29,647,False,True
RICHARD,675,675,0,True,False
LINDA,674,0,674,False,True
NEREO,673,673,0,True,False
INES,672,17,655,False,True
VLADIMIRO,670,670,0,True,False
AMILCARE,670,670,0,True,False
MARIAASSUNTA,670,0,670,False,True
QUIRINO,669,669,0,True,False
LIBORIO,667,667,0,True,False
VENANZIO,667,667,0,True,False
PIERFRANCESCO,666,666,0,True,False
AMALIA,660,0,660,False,True
MICHAEL,658,658,0,True,False
FLAVIANO,658,658,0,True,False
ERICH,657,657,0,True,False
CRESCENZO,654,654,0,True,False
SILVERIO,654,654,0,True,False
ROSINA,654,0,654,False,True
PIETROLUIGI,654,654,0,True,False
DANIEL,653,653,0,True,False
BENVENUTO,652,652,0,True,False
ANDREINA,652,3,649,False,True
NORBERTO,651,651,0,True,False
GIOVAMBATTISTA,651,651,0,True,False
LUANA,650,0,650,False,True
ORIANO,649,649,0,True,False
ULISSE,649,649,0,True,False
EVA,646,0,646,False,True
GESUINO,644,644,0,True,False
MICHELINA,643,0,643,False,True
TIBERIO,641,641,0,True,False
ANTONIOLUIGI,635,635,0,True,False
ANNUNZIATA,628,0,628,False,True
ABRAMO,628,628,0,True,False
WERNER,627,627,0,True,False
FIORENZA,621,0,621,False,True
ENEA,620,615,5,True,False
CRISTIANA,618,0,618,False,True
TAMARA,618,7,611,False,True
MARIACARLA,617,7,610,False,True
GEREMIA,617,617,0,True,False
ROLAND,614,614,0,True,False
FLORINDO,613,613,0,True,False
DELIO,611,611,0,True,False
MARIAVITTORIA,611,0,611,False,True
MARIOANTONIO,608,608,0,True,False
ELDA,607,7,600,False,True
VITANTONIO,604,604,0,True,False
MARIOGIUSEPPE,603,603,0,True,False
EDGARDO,602,602,0,True,False
SERENELLA,599,0,599,False,True
ORIANA,598,0,598,False,True
ROSOLINO,597,597,0,True,False
LUIGIANTONIO,596,596,0,True,False
ELIANA,596,5,591,False,True
MARIACHIARA,595,0,595,False,True
STEFAN,594,594,0,True,False
FRANCESCOMARIA,593,590,3,True,False
OVIDIO,591,591,0,True,False
LIBERATO,591,591,0,True,False
MARIAFRANCESCA,590,0,590,False,True
LIVIA,589,2,587,False,True
ALCIDE,588,588,0,True,False
MAURIZIA,588,4,584,False,True
BRUNELLA,587,0,587,False,True
GISELLA,586,0,586,False,True
ANGELOANTONIO,585,585,0,True,False
AURORA,582,0,582,False,True
DIONIGI,580,580,0,True,False
GIGLIOLA,579,5,574,False,True
SISTO,578,578,0,True,False
FULVIA,575,7,568,False,True
VANNA,575,0,575,False,True
OSWALD,571,571,0,True,False
OLGA,570,0,570,False,True
RUDOLF,570,570,0,True,False
ANGELORAFFAELE,568,568,0,True,False
ORFEO,568,568,0,True,False
VINCENZINO,562,562,0,True,False
MANFRED,560,560,0,True,False
CELSO,560,560,0,True,False
ANDREINO,560,560,0,True,False
GIOVANNIFRANCESCO,558,557,1,True,False
HELMUT,557,557,0,True,False
ANACLETO,557,557,0,True,False
ANGELAMARIA,556,0,556,False,True
PIERANGELA,554,14,540,False,True
MARIALAURA,552,0,552,False,True
MARIACARMELA,552,5,547,False,True
PROSPERO,552,552,0,True,False
GIUSTO,551,551,0,True,False
SANTINA,550,0,550,False,True
ANNAROSA,550,0,550,False,True
GILDO,548,548,0,True,False
TANIA,545,6,539,False,True
MARIAELENA,542,4,538,False,True
ANNUNZIATO,541,541,0,True,False
COSIMODAMIANO,539,539,0,True,False
DIONISIO,538,538,0,True,False
GIANCARLA,538,5,533,False,True
MARIALUCIA,538,0,538,False,True
PIERGIOVANNI,538,538,0,True,False
FRANCESCOGIUSEPPE,535,535,0,True,False
FRANCESCOSAVERIO,535,535,0,True,False
BEPPINO,534,534,0,True,False
EVARISTO,531,531,0,True,False
ALFRED,531,531,0,True,False
GIOVANNIGIUSEPPE,528,528,0,True,False
IRMA,527,4,523,False,True
GIUSEPPELUIGI,527,527,0,True,False
ROSANGELA,526,5,521,False,True
PANTALEO,524,524,0,True,False
MICHELEANTONIO,523,523,0,True,False
CAMILLA,523,0,523,False,True
FLORA,523,9,514,False,True
PANCRAZIO,522,522,0,True,False
OLINDO,517,517,0,True,False
SALVATOREANTONIO,516,516,0,True,False
ULDERICO,516,516,0,True,False
IMMACOLATA,516,2,514,False,True
ANTONIOMARIO,515,515,0,True,False
ALDA,513,2,511,False,True
BARTOLO,512,512,0,True,False
FIORE,512,496,16,True,False
FRANCESCANTONIO,512,512,0,True,False
LIDO,512,512,0,True,False
CANIO,510,510,0,True,False
GIUSEPPEMARIO,510,510,0,True,False
ALBANO,509,509,0,True,False
PIERDOMENICO,508,508,0,True,False
ERMINIA,508,15,493,False,True
AMOS,508,508,0,True,False
AGATA,507,5,502,False,True
VITALE,505,505,0,True,False
MATILDE,505,9,496,False,True
VITALIANO,504,504,0,True,False
ALIDA,502,0,502,False,True
CONCETTO,502,502,0,True,False
ANTONIOSALVATORE,498,498,0,True,False
TERESINA,498,0,498,False,True
VITTORE,496,496,0,True,False
JACOPO,494,494,0,True,False
LICIA,493,5,488,False,True
CARMELINA,492,0,492,False,True
OMERO,492,492,0,True,False
ONORATO,492,492,0,True,False
NORBERT,489,489,0,True,False
IOLANDA,488,0,488,False,True
DINA,488,0,488,False,True
NAZARIO,483,483,0,True,False
PLACIDO,481,481,0,True,False
KONRAD,480,480,0,True,False
ANTONIOGIOVANNI,480,480,0,True,False
DIANA,480,10,470,False,True
ERNESTINO,479,479,0,True,False
